tot_pop,0-9,19-oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,white-alone_pop,pop_estimate_2018,high_school_diploma_only_2014-18,some_college_or_associate's_degree_2014-,bachelor's_degree_or_higher_2014-18,povall_2018,civilian_labor_force_2018,employed_2018,unemployed_2018,total_nurse_practitioners_(2019),total_physician_assistants_(2019),family_medicine/general_practice_primary,total_specialist_physicians_(2019),total_population,population_aged_60+,county_pop2018_18_and_older,anycondition_number,obesity_number,copd_number,diabetes_number,ckd_number,target
-0.24002742462255724,-0.23172616294107262,-0.24197122393325587,-0.23779245309159036,-0.23392717968621982,-0.2300276748326676,-0.24352844133326054,-0.24698496509688517,-0.252624871199334,-0.23591232670526327,-0.23756259939810867,-0.24002742462255724,-0.2354423023077,-0.24805495188681073,-0.23979352375204152,-0.24786629823318773,-0.22419991471172124,-0.22386344073083633,-0.22756084964831005,-0.2615812596121323,-0.2913184175910579,-0.24308664089637286,-0.2503659953206437,-0.2374023546101708,-0.24302807637121357,-0.24113712451875544,-0.24647686280122386,-0.25035440723688607,-0.25011007990167433,-0.22852467419578656,-0.241452704950375,1566
0.3970331881934083,0.4655358201235542,0.5939785737940948,0.13931192501403725,0.35752110428014433,0.6465112843385571,0.44894054589364246,0.24059822465913744,0.31505645615907335,0.12116358051796439,0.45172221600938856,0.3970331881934083,0.09255536202760947,0.24131126961496213,0.6453507621131604,-0.03333841188026333,0.3944735892263037,0.40054366204214226,0.24560952513822568,0.36141077930724763,0.5395819626971557,0.2424775100389317,0.22157634850504412,0.332200898509924,0.1936934360377756,0.35202016071138453,0.2269584955431786,0.2650846105488118,0.19689197745041434,0.19809914182735594,0.1918397309182849,8682
-0.13768888812131547,-0.12957462696063082,-0.1289564501926277,-0.1530634963674885,-0.14634604205839535,-0.1388054124868342,-0.1312931203255598,-0.13659205132398014,-0.11685462581982435,-0.13045596404263368,-0.11370182765439509,-0.13768888812131547,-0.1064392014988759,-0.12211463215579706,-0.17832325514965508,-0.09175630917599988,-0.1436548569194852,-0.14240292612136396,-0.16988513992599732,-0.13129573447421758,-0.2533860119887878,-0.13780356466436336,-0.11787538771013704,-0.13397767358797447,-0.1246980951064798,-0.14061012247450783,-0.1228813987031103,-0.12983862156861947,-0.09404744871968268,-0.12912925787208404,-0.1318681444305915,3785
0.5463659596321142,0.5098652805853243,0.4755708807539975,0.47455616378573356,0.560060140738337,0.5263693791758983,0.5158743762568082,0.7000761319060477,0.7079717995413145,0.5320454463638702,0.6521603545617795,0.5463659596321142,0.43208380993124884,0.8351566864259449,0.5851342211999926,0.24408081435410714,0.5109033575305519,0.5043716987436099,0.6524958753185215,0.4077545501755,0.5128148825547646,0.926224335902548,0.4700466018336914,0.5106311634750389,0.6304149484467648,0.557983677022561,0.5446959345482717,0.5551793898476963,0.4714807732846891,0.42646994280917366,0.4918711309718598,14180
-0.10012408210297374,-0.13976585748233297,-0.07978154131720576,-0.10264976711664792,-0.12868690824765688,-0.11667279801604186,-0.06627904305430718,-0.06644474312340189,-0.08061964747779835,-0.07930299567561919,-0.05292212546476907,-0.10012408210297374,-0.05041848337765531,-0.09383393144375705,-0.11309180347961295,-0.13611794815095296,-0.11166911264210051,-0.11365615214614648,-0.06328550728003127,-0.04557882786517446,0.04630420849005639,-0.15689931087193545,0.01813240644926472,-0.09279115019251064,-0.07137223706646077,-0.0908495659669219,-0.10354305767564768,-0.09229915640169592,-0.06484535018216364,-0.11346532009499734,-0.10482779832830726,4170
-0.2906405214695224,-0.29074439227684545,-0.29852591711321447,-0.2777966248020413,-0.2709603227297801,-0.27841113453337063,-0.29236508706168435,-0.3088455611349829,-0.30887536138743155,-0.2990037512227641,-0.30756463087975283,-0.2906405214695224,-0.3402228867810051,-0.30683476969446155,-0.25223050242908973,-0.2784786798491217,-0.2830873409119156,-0.28327138179240285,-0.2731849185331246,-0.31773829295595035,-0.3058756566445945,-0.30915620591557474,-0.2897634764553687,-0.28893500090546387,-0.307120089623344,-0.2891567192452487,-0.31106611269734114,-0.31476917465748194,-0.33822534455192244,-0.2884913372737322,-0.2926870449336504,528
-0.24377521036147712,-0.24088870118006775,-0.24641801703983565,-0.23982998276519377,-0.2316406791234421,-0.233110596183069,-0.23915046781877575,-0.2578214348478213,-0.2605620569313969,-0.25315676336707693,-0.24340453193866496,-0.24377521036147712,-0.22859466974493753,-0.26088890148361676,-0.24751648631762793,-0.24359021340861242,-0.23955283494564192,-0.23972820170663306,-0.2307172317724167,-0.25956447522744697,-0.2978405436510659,-0.2563209872212042,-0.23344827411599098,-0.24172719844819185,-0.25688889041887886,-0.24402325227141125,-0.2483581030894603,-0.2544239807415651,-0.25679029852136825,-0.2400877527265115,-0.24623975186800426,1480
-0.19812418183284186,-0.16081816466331397,-0.17271478661375833,-0.2027711509789616,-0.15928926845840485,-0.17400593238320874,-0.21749471647707297,-0.2511862702142267,-0.2684992426634597,-0.2680798335551849,-0.2087196380885656,-0.19812418183284186,-0.2577954936620051,-0.20644732015939338,-0.18272383933881228,-0.22069671311703998,-0.19914105725543005,-0.1989145756696379,-0.20044465776393913,-0.2291431119716812,-0.1870836122056754,-0.24028686716301526,-0.22286683384163541,-0.2051061264000474,-0.2661077162132133,-0.20839543662233967,-0.22582367641101536,-0.2214913265056808,-0.25939876483953445,-0.22233977172586392,-0.22993791641878028,1497
-0.18278224613199945,-0.17163139516990875,-0.17739811126856042,-0.18056006018057205,-0.1798881887070004,-0.17395991863171023,-0.1786782454235127,-0.19509160326820463,-0.2065793340953173,-0.1998482404173357,-0.15819493003398538,-0.18278224613199945,-0.13520712910450447,-0.18664589984677965,-0.21124614426853472,-0.19778128418534152,-0.17168830563684478,-0.17047657477686098,-0.19642744415143973,-0.19754691468507768,-0.26341279967603987,-0.17197560793161956,-0.2046165921675092,-0.18183420262094965,-0.19750401613240684,-0.18589447280270666,-0.2008213861286474,-0.19249393641788545,-0.1740828298965867,-0.18378497208998743,-0.1952641711775737,2441
-0.29610329396257207,-0.29146208456710615,-0.3025942597426385,-0.27703002947929944,-0.2704907735070668,-0.28119496649903164,-0.30179997115974516,-0.3264041190736654,-0.3338701015498903,-0.30265161282430164,-0.31432963934121955,-0.29610329396257207,-0.3425054309685926,-0.3072948856851281,-0.2669868773311923,-0.2775796056039546,-0.2887461748846652,-0.28890957827776775,-0.27921073895187365,-0.32261457678295513,-0.3086299785211447,-0.30794398644608534,-0.2950943790671451,-0.294514658589446,-0.3258509194174863,-0.29567178511049325,-0.3159006979542068,-0.31777770424509943,-0.3470050604520915,-0.2951468301489751,-0.30070858301184,369
